Shipment ID,Order ID,Carrier Name,Dispatch Date,Delivery Date,Status
103,9236,"Carrillo, Love and Bradley",2025-02-01,2025-02-01,Lost
104,1651,Holland-Bennett,2025-02-01,2025-02-01,Delivered
105,6256,Bradford Group,2025-02-01,2025-02-01,Delivered
106,5569,Davis and Sons,2025-02-01,2025-02-01,In Transit
107,1490,Wade-Gillespie,2025-02-01,2025-02-01,Delayed
108,2409,"Dominguez, Adams and Hernandez",2025-02-01,2025-02-01,In Transit
109,2523,"Mercado, Williams and Moss",2025-02-01,2025-02-01,Lost
110,1783,Singh Group,2025-02-01,2025-02-01,Delivered
111,2367,Ramsey Ltd,2025-02-01,2025-02-01,Delivered
112,2585,"Duncan, James and Walker",2025-02-01,2025-02-01,Lost
113,1977,Clay Ltd,2025-02-01,2025-02-01,Delayed
114,33,Small Ltd,2025-02-01,2025-02-01,Delivered
115,4712,"Young, Sanchez and Avery",2025-02-01,2025-02-01,Delayed
116,4882,Miller LLC,2025-02-01,2025-02-01,Delivered
117,2387,Johnson-Baird,2025-02-01,2025-02-01,Delayed
118,9743,Osborne-Myers,2025-02-01,2025-02-01,Delivered
119,2799,Rivera-Chavez,2025-02-01,2025-02-01,Delayed
120,3930,"Ingram, Valenzuela and Reid",2025-02-01,2025-02-01,In Transit
121,2436,Kim PLC,2025-02-01,2025-02-01,Delivered
122,2155,Hughes-Chandler,2025-02-01,2025-02-01,In Transit
123,248,Jordan LLC,2025-02-01,2025-02-01,In Transit
124,1582,Cooper LLC,2025-02-01,2025-02-01,Delivered
125,2121,"Odonnell, Armstrong and Schaefer",2025-02-01,2025-02-01,Lost
126,8625,"Miller, Peterson and Hodges",2025-02-01,2025-02-01,Delivered
127,8923,Buchanan-Watson,2025-02-01,2025-02-01,Delivered
128,4338,Richard-White,2025-02-01,2025-02-01,Delivered
129,5455,Berg-Hill,2025-02-01,2025-02-01,In Transit
130,9602,"Chapman, Wilson and White",2025-02-01,2025-02-01,Lost
131,9293,Cuevas LLC,2025-02-01,2025-02-01,In Transit
132,3823,"Gonzalez, Sparks and Moore",2025-02-01,2025-02-01,Delayed
133,3773,Frank-Mercado,2025-02-01,2025-02-01,Delivered
134,9899,Knight-Robinson,2025-02-01,2025-02-01,Delayed
135,6237,Woodward Ltd,2025-02-01,2025-02-01,In Transit
136,7942,"Brewer, Simon and Simpson",2025-02-01,2025-02-01,Lost
137,3012,Thomas Inc,2025-02-01,2025-02-01,Delayed
138,8511,"Dunn, Davis and Cantu",2025-02-01,2025-02-01,Delayed
139,6684,Clark Ltd,2025-02-01,2025-02-01,Lost
140,6158,Small-Wagner,2025-02-01,2025-02-01,Delayed
141,918,Richard-Santos,2025-02-01,2025-02-01,Lost
142,7510,Crawford Ltd,2025-02-01,2025-02-01,Delayed
143,3532,"Johnson, Rice and Hogan",2025-02-01,2025-02-01,Lost
144,1133,Ford-Anderson,2025-02-01,2025-02-01,Delayed
145,57,"Nguyen, Lopez and Mcdonald",2025-02-01,2025-02-01,Delivered
146,5,Brewer Inc,2025-02-01,2025-02-01,Lost
147,652,Cervantes PLC,2025-02-01,2025-02-01,In Transit
148,6425,Nguyen-Stone,2025-02-01,2025-02-01,Delivered
149,3891,Mccall Group,2025-02-01,2025-02-01,Lost
150,898,Parker LLC,2025-02-01,2025-02-01,Delivered
151,7949,Coleman PLC,2025-02-01,2025-02-01,Delivered
152,1999,"Schwartz, Martinez and Sellers",2025-02-01,2025-02-01,Delayed
153,6932,"Benson, Snyder and Martin",2025-02-01,2025-02-01,Lost
154,2685,Gonzalez PLC,2025-02-01,2025-02-01,Lost
155,1129,"Moore, Rowe and Thompson",2025-02-01,2025-02-01,Lost
156,3241,"Lopez, Barber and Chase",2025-02-01,2025-02-01,Lost
157,3065,Ball PLC,2025-02-01,2025-02-01,Delivered
158,4776,Hernandez and Sons,2025-02-01,2025-02-01,Delayed
159,9802,Lyons and Sons,2025-02-01,2025-02-01,Lost
160,7381,"Thompson, Mitchell and Farrell",2025-02-01,2025-02-01,Lost
161,3203,Anderson Group,2025-02-01,2025-02-01,Delivered
162,4928,"Bell, Johnson and Sanders",2025-02-01,2025-02-01,Delivered
163,8233,Williams-Lopez,2025-02-01,2025-02-01,Delivered
164,1050,Duran and Sons,2025-02-01,2025-02-01,Delayed
165,7081,Garcia Group,2025-02-01,2025-02-01,Delivered
166,9733,Garcia-Newman,2025-02-01,2025-02-01,Delivered
167,2716,"Byrd, Chen and White",2025-02-01,2025-02-01,Delivered
168,2632,"Leon, Mccoy and Leblanc",2025-02-01,2025-02-01,Delivered
169,3225,Chan-Mendoza,2025-02-01,2025-02-01,In Transit
170,3226,Anderson-Clark,2025-02-01,2025-02-01,Delayed
171,2894,Farley Ltd,2025-02-01,2025-02-01,Delivered
172,3564,"Rodriguez, Lawson and King",2025-02-01,2025-02-01,Delayed
173,9854,"Mooney, Hodge and Knight",2025-02-01,2025-02-01,In Transit
174,6305,Navarro LLC,2025-02-01,2025-02-01,Delivered
175,7952,White-Beasley,2025-02-01,2025-02-01,In Transit
176,9518,Douglas-Mccullough,2025-02-01,2025-02-01,Delayed
177,695,"Mendoza, Lindsey and Jones",2025-02-01,2025-02-01,In Transit
178,4554,"Brown, Sanders and Mcguire",2025-02-01,2025-02-01,Delayed
179,1220,Smith Ltd,2025-02-01,2025-02-01,Delivered
180,5104,"Dodson, Barton and Delgado",2025-02-01,2025-02-01,Delayed
181,2629,Beasley Inc,2025-02-01,2025-02-01,Delivered
182,9671,Morales Inc,2025-02-01,2025-02-01,Delivered
183,4123,"Ross, Duncan and Cortez",2025-02-01,2025-02-01,Delayed
184,6355,Brown-Cross,2025-02-01,2025-02-01,Lost
185,431,Flores-Carroll,2025-02-01,2025-02-01,Delivered
186,9426,"Jones, Miller and Madden",2025-02-01,2025-02-01,Delivered
187,5710,Knight Ltd,2025-02-01,2025-02-01,In Transit
188,4581,Nelson-Hudson,2025-02-01,2025-02-01,Lost
189,2561,"Bennett, Mercer and Garza",2025-02-01,2025-02-01,Delivered
190,3222,Howard-Lopez,2025-02-01,2025-02-01,Lost
191,4561,Smith and Sons,2025-02-01,2025-02-01,In Transit
192,5774,"Smith, Dean and Pearson",2025-02-01,2025-02-01,Delivered
193,5604,"Stanley, Hernandez and Jones",2025-02-01,2025-02-01,Delivered
194,3396,Walton Group,2025-02-01,2025-02-01,Lost
195,8331,Patel-Holland,2025-02-01,2025-02-01,Delayed
196,1306,"Friedman, Wells and Jones",2025-02-01,2025-02-01,In Transit
197,5577,Hall-Yates,2025-02-01,2025-02-01,Delivered
198,529,Pearson-Leonard,2025-02-01,2025-02-01,Delayed
199,5576,Dominguez-Maynard,2025-02-01,2025-02-01,Lost
200,5922,Wong-Fisher,2025-02-01,2025-02-01,Delayed
201,970,Shepard Ltd,2025-02-01,2025-02-01,Delivered
202,5659,Wilson Inc,2025-02-01,2025-02-01,Lost
203,2116,Parker-Johnson,2025-02-01,2025-02-01,Delivered
204,2981,"Rogers, Hall and Thomas",2025-02-01,2025-02-01,Delivered
205,230,"Jones, Wilkinson and Hampton",2025-02-01,2025-02-01,In Transit
206,7898,Kaiser-Hart,2025-02-01,2025-02-01,In Transit
207,9168,Smith-Williams,2025-02-01,2025-02-01,Lost
208,1148,"Marshall, Torres and Gardner",2025-02-01,2025-02-01,Lost
209,9880,Evans-West,2025-02-01,2025-02-01,Delayed
210,8241,Barnes and Sons,2025-02-01,2025-02-01,Delayed
211,6453,Vazquez-Johnson,2025-02-01,2025-02-01,Lost
212,4672,Russell LLC,2025-02-01,2025-02-01,Lost
213,5736,Gonzalez-Chapman,2025-02-01,2025-02-01,Delivered
214,1606,"Simmons, Lopez and Marshall",2025-02-01,2025-02-01,Delayed
215,8974,"Cunningham, Howard and Hudson",2025-02-01,2025-02-01,Delivered
216,6009,Harris-Neal,2025-02-01,2025-02-01,Lost
217,5949,"Smith, Richardson and Rodriguez",2025-02-01,2025-02-01,In Transit
218,9110,Gutierrez-Clark,2025-02-01,2025-02-01,Lost
219,9362,Castaneda PLC,2025-02-01,2025-02-01,Delivered
220,2284,"Horn, Pittman and Hines",2025-02-01,2025-02-01,Lost
221,12,Livingston-Gutierrez,2025-02-01,2025-02-01,Delivered
222,5455,Compton-Molina,2025-02-01,2025-02-01,Delivered
223,6046,Fletcher-Floyd,2025-02-01,2025-02-01,Delayed
224,1693,Foster PLC,2025-02-01,2025-02-01,In Transit
225,1018,"Sanchez, Thornton and Hodge",2025-02-01,2025-02-01,Delayed
226,5818,Mitchell-Andrews,2025-02-01,2025-02-01,Lost
227,2916,Smith-Blake,2025-02-01,2025-02-01,Delayed
228,1175,Thomas Inc,2025-02-01,2025-02-01,Delivered
229,6928,"Fisher, Jacobs and Woods",2025-02-01,2025-02-01,Lost
230,7303,"Roth, Day and Khan",2025-02-01,2025-02-01,Lost
231,8314,Wright Inc,2025-02-01,2025-02-01,In Transit
232,9333,Anderson-Vazquez,2025-02-01,2025-02-01,Delayed
233,809,Mendoza LLC,2025-02-01,2025-02-01,Delayed
234,9314,Mitchell Ltd,2025-02-01,2025-02-01,Lost
235,4952,Kennedy-Richards,2025-02-01,2025-02-01,Lost
236,581,Smith LLC,2025-02-01,2025-02-01,Delivered
237,3284,Charles-James,2025-02-01,2025-02-01,Lost
238,4369,"Carr, Knight and Morrow",2025-02-01,2025-02-01,Delivered
239,4736,Taylor Inc,2025-02-01,2025-02-01,Delayed
240,3254,Garrison-Lin,2025-02-01,2025-02-01,Delivered
241,385,Lee-Aguilar,2025-02-01,2025-02-01,Lost
242,5246,Peters Group,2025-02-01,2025-02-01,Delayed
243,3686,"Robinson, Jones and Mccarthy",2025-02-01,2025-02-01,Delivered
244,6685,Green LLC,2025-02-01,2025-02-01,In Transit
245,4833,Miller and Sons,2025-02-01,2025-02-01,Delivered
246,4889,Williams-Harris,2025-02-01,2025-02-01,In Transit
247,3404,Moore-Lambert,2025-02-01,2025-02-01,Lost
248,1167,Lee Group,2025-02-01,2025-02-01,Delayed
249,2448,Russell-Douglas,2025-02-01,2025-02-01,Delayed
250,3115,Alvarado Ltd,2025-02-01,2025-02-01,In Transit
251,705,"Figueroa, Leonard and Barrett",2025-02-01,2025-02-01,In Transit
252,5492,Arnold Ltd,2025-02-01,2025-02-01,Lost
253,8741,"Dalton, James and Aguilar",2025-02-01,2025-02-01,Delivered
254,495,"Davis, Bates and Freeman",2025-02-01,2025-02-01,Delayed
255,3945,Baker-Chaney,2025-02-01,2025-02-01,In Transit
256,3053,Brown-Perez,2025-02-01,2025-02-01,Delivered
257,5955,Martin PLC,2025-02-01,2025-02-01,Delivered
258,6584,Myers-White,2025-02-01,2025-02-01,Delayed
259,9609,Harris PLC,2025-02-01,2025-02-01,Lost
260,4616,Smith Inc,2025-02-01,2025-02-01,Lost
261,8996,Berry-Rodriguez,2025-02-01,2025-02-01,Lost
262,1012,Johnson and Sons,2025-02-01,2025-02-01,Lost
263,7182,Alexander-Gross,2025-02-01,2025-02-01,Lost
264,4760,Diaz-Cabrera,2025-02-01,2025-02-01,Delayed
265,2676,Parsons PLC,2025-02-01,2025-02-01,Lost
266,3814,Wright-Goodman,2025-02-01,2025-02-01,In Transit
267,7647,"Wood, Brown and David",2025-02-01,2025-02-01,In Transit
268,7540,"Perkins, Hammond and Cabrera",2025-02-01,2025-02-01,In Transit
269,652,Robinson Ltd,2025-02-01,2025-02-01,In Transit
270,601,Fernandez Group,2025-02-01,2025-02-01,In Transit
271,2216,"Robles, Lowery and Smith",2025-02-01,2025-02-01,Delayed
272,4752,Stanley and Sons,2025-02-01,2025-02-01,In Transit
273,6094,Brown-Olsen,2025-02-01,2025-02-01,Lost
274,9929,"Ware, Ford and Parsons",2025-02-01,2025-02-01,Delayed
275,2111,"Fields, Simpson and Summers",2025-02-01,2025-02-01,In Transit
276,1843,"Buchanan, Burke and Atkins",2025-02-01,2025-02-01,Lost
277,5037,Ward-Weaver,2025-02-01,2025-02-01,In Transit
278,419,Kramer Group,2025-02-01,2025-02-01,Delayed
279,4198,Wagner-Velazquez,2025-02-01,2025-02-01,In Transit
280,896,George-Lang,2025-02-01,2025-02-01,In Transit
281,7198,Long-Ferguson,2025-02-01,2025-02-01,Delivered
282,3152,"Stevenson, Valentine and Washington",2025-02-01,2025-02-01,In Transit
283,4808,Berry-Shepard,2025-02-01,2025-02-01,Delivered
284,505,Miller Inc,2025-02-01,2025-02-01,Delayed
285,9314,Church-Williams,2025-02-01,2025-02-01,Delivered
286,267,Aguirre-Newton,2025-02-01,2025-02-01,Lost
287,4738,Wyatt-Roy,2025-02-01,2025-02-01,In Transit
288,4341,"Johnson, Soto and Perez",2025-02-01,2025-02-01,In Transit
289,2132,Matthews PLC,2025-02-01,2025-02-01,In Transit
290,967,"Kelly, George and Moss",2025-02-01,2025-02-01,Lost
291,658,Thompson and Sons,2025-02-01,2025-02-01,Delayed
292,3391,"Scott, Robinson and Gibson",2025-02-01,2025-02-01,In Transit
293,479,Vincent-Hernandez,2025-02-01,2025-02-01,Delayed
294,6070,Bennett LLC,2025-02-01,2025-02-01,In Transit
295,3556,"Reyes, Rubio and Stout",2025-02-01,2025-02-01,In Transit
296,5971,Harris LLC,2025-02-01,2025-02-01,Lost
297,9006,Wiley-Bass,2025-02-01,2025-02-01,Delayed
298,638,"Porter, Greene and Nielsen",2025-02-01,2025-02-01,Lost
299,6804,Smith-Martin,2025-02-01,2025-02-01,In Transit
300,7056,"Gray, Romero and Bailey",2025-02-01,2025-02-01,Lost
301,5861,French Group,2025-02-01,2025-02-01,In Transit
302,4380,"Miles, White and Simmons",2025-02-01,2025-02-01,In Transit
303,4340,Meza PLC,2025-02-01,2025-02-01,Delivered
304,5662,Adams Group,2025-02-01,2025-02-01,In Transit
305,5442,Norton-Moore,2025-02-01,2025-02-01,Lost
306,345,Smith Inc,2025-02-01,2025-02-01,Delayed
307,1974,"Miller, Pacheco and Anderson",2025-02-01,2025-02-01,Delayed
308,2156,"Hardy, Moore and Watkins",2025-02-01,2025-02-01,Lost
309,7769,Glass-Friedman,2025-02-01,2025-02-01,In Transit
310,2558,Hernandez LLC,2025-02-01,2025-02-01,In Transit
311,5616,Hall-Sanchez,2025-02-01,2025-02-01,Delivered
312,8846,Jackson-Dean,2025-02-01,2025-02-01,Lost
313,1882,Reynolds Inc,2025-02-01,2025-02-01,In Transit
314,5488,"Robertson, Lucas and Arnold",2025-02-01,2025-02-01,In Transit
315,1925,Cummings and Sons,2025-02-01,2025-02-01,In Transit
316,7118,Williams PLC,2025-02-01,2025-02-01,Delivered
317,7715,"Foley, Brown and Day",2025-02-01,2025-02-01,In Transit
318,4196,Herring and Sons,2025-02-01,2025-02-01,Delivered
319,6059,"Phillips, Bates and Stephenson",2025-02-01,2025-02-01,Delivered
320,4314,Kane PLC,2025-02-01,2025-02-01,In Transit
321,586,Esparza-Evans,2025-02-01,2025-02-01,Lost
322,1721,"Rodriguez, Murphy and Hawkins",2025-02-01,2025-02-01,Lost
323,5335,Zhang-Brady,2025-02-01,2025-02-01,In Transit
324,4174,Thompson-Reilly,2025-02-01,2025-02-01,Lost
325,3061,"Warren, Sanchez and Edwards",2025-02-01,2025-02-01,Delayed
326,5698,"Morales, Bautista and Ross",2025-02-01,2025-02-01,Delivered
327,1991,"Graham, Anderson and Phillips",2025-02-01,2025-02-01,In Transit
328,8140,"Thomas, Conrad and Stokes",2025-02-01,2025-02-01,Delivered
329,8180,White LLC,2025-02-01,2025-02-01,In Transit
330,3063,Martin-King,2025-02-01,2025-02-01,Delivered
331,113,Oconnor-Pace,2025-02-01,2025-02-01,Lost
332,2377,Ruiz PLC,2025-02-01,2025-02-01,Delayed
333,522,Chapman-Wheeler,2025-02-01,2025-02-01,Delayed
334,5258,"Vazquez, Davis and Martin",2025-02-01,2025-02-01,Delivered
335,4926,"Dunn, Brown and Golden",2025-02-01,2025-02-01,In Transit
336,8992,Mclaughlin Ltd,2025-02-01,2025-02-01,Lost
337,565,Smith and Sons,2025-02-01,2025-02-01,Lost
338,9716,Lee-Foster,2025-02-01,2025-02-01,Delivered
339,5204,Welch-Nguyen,2025-02-01,2025-02-01,Delivered
340,3847,Mercado and Sons,2025-02-01,2025-02-01,Lost
341,639,Tran-Martin,2025-02-01,2025-02-01,In Transit
342,245,Keller PLC,2025-02-01,2025-02-01,Delivered
343,1219,Hayes PLC,2025-02-01,2025-02-01,In Transit
344,4406,Avila-Mahoney,2025-02-01,2025-02-01,In Transit
345,422,"Haney, Clark and Wiggins",2025-02-01,2025-02-01,In Transit
346,2700,"Clarke, Moyer and Lewis",2025-02-01,2025-02-01,Lost
347,1813,"Miller, Rogers and Wilson",2025-02-01,2025-02-01,Delivered
348,3027,Thompson-Gibson,2025-02-01,2025-02-01,Lost
349,5012,"Torres, Waters and Smith",2025-02-01,2025-02-01,In Transit
350,5496,Beck and Sons,2025-02-01,2025-02-01,Delayed
351,2458,"Lynch, Garcia and Fernandez",2025-02-01,2025-02-01,Delayed
352,4337,Hurst-Murray,2025-02-01,2025-02-01,Delivered
353,4881,"Woods, Erickson and Duran",2025-02-01,2025-02-01,Delayed
354,721,Snyder-Davis,2025-02-01,2025-02-01,Delivered
355,6639,"Cummings, Petersen and Jackson",2025-02-01,2025-02-01,Lost
356,4270,"Garcia, Pena and Adams",2025-02-01,2025-02-01,Delivered
357,7852,Mcdonald Group,2025-02-01,2025-02-01,Delivered
358,8726,Hull-Neal,2025-02-01,2025-02-01,Lost
359,9753,Riley-Ferguson,2025-02-01,2025-02-01,Lost
360,7166,"Evans, Guerrero and Thompson",2025-02-01,2025-02-01,Delayed
361,8990,"Myers, Richardson and Ashley",2025-02-01,2025-02-01,In Transit
362,1361,Gallagher-Carr,2025-02-01,2025-02-01,In Transit
363,5477,Taylor Group,2025-02-01,2025-02-01,In Transit
364,2803,"Hunter, Cunningham and Farley",2025-02-01,2025-02-01,Delivered
365,7674,Guzman Ltd,2025-02-01,2025-02-01,Delivered
366,4442,"Smith, Wallace and Evans",2025-02-01,2025-02-01,Delivered
367,316,"Johnson, Adams and Alvarez",2025-02-01,2025-02-01,Lost
368,8073,Garza-Shea,2025-02-01,2025-02-01,Lost
369,8155,"Montgomery, Washington and Hart",2025-02-01,2025-02-01,Delivered
370,6315,Parker-Frazier,2025-02-01,2025-02-01,Lost
371,7517,Jennings-Jefferson,2025-02-01,2025-02-01,In Transit
372,190,Jones-Hicks,2025-02-01,2025-02-01,Lost
373,50,Rodriguez-Murray,2025-02-01,2025-02-01,Delivered
374,4120,"Acevedo, Cooper and Ross",2025-02-01,2025-02-01,In Transit
375,8247,"Rodriguez, James and Frank",2025-02-01,2025-02-01,Delivered
376,5874,Roberts-Smith,2025-02-01,2025-02-01,In Transit
377,3588,"Bowman, Drake and Liu",2025-02-01,2025-02-01,Delivered
378,1591,Houston Inc,2025-02-01,2025-02-01,Delayed
379,7445,Woodward Inc,2025-02-01,2025-02-01,Delivered
380,898,Tran-Winters,2025-02-01,2025-02-01,Delivered
381,4079,Nelson LLC,2025-02-01,2025-02-01,Lost
382,6314,Carrillo Inc,2025-02-01,2025-02-01,In Transit
383,6347,"Peters, Golden and Ballard",2025-02-01,2025-02-01,Delivered
384,265,Estrada-Fernandez,2025-02-01,2025-02-01,In Transit
385,7311,"Doyle, Green and Bond",2025-02-01,2025-02-01,Delivered
386,9661,Perry-Glenn,2025-02-01,2025-02-01,Delayed
387,1920,Kramer-Herman,2025-02-01,2025-02-01,Delivered
388,6249,Williams LLC,2025-02-01,2025-02-01,Lost
389,950,Vargas PLC,2025-02-01,2025-02-01,Lost
390,9609,Smith LLC,2025-02-01,2025-02-01,Lost
391,1809,Grant PLC,2025-02-01,2025-02-01,In Transit
392,327,"Ortega, Merritt and Phillips",2025-02-01,2025-02-01,Delayed
393,27,Shaw Group,2025-02-01,2025-02-01,Delivered
394,442,Schmidt and Sons,2025-02-01,2025-02-01,Delivered
395,7824,Johnson Ltd,2025-02-01,2025-02-01,Lost
396,7921,Oneal-Martinez,2025-02-01,2025-02-01,Delivered
397,6751,Turner-Novak,2025-02-01,2025-02-01,In Transit
398,8662,"Hurley, Long and Hill",2025-02-01,2025-02-01,Lost
399,3745,"Barrera, Morales and Rangel",2025-02-01,2025-02-01,Delivered
400,3581,Gray and Sons,2025-02-01,2025-02-01,Delayed
401,722,Carr-Graham,2025-02-01,2025-02-01,Lost
402,6407,Randolph-Tate,2025-02-01,2025-02-01,Lost
403,8082,Lynch LLC,2025-02-01,2025-02-01,Lost
404,141,"Holland, Phillips and Mcguire",2025-02-01,2025-02-01,Delayed
405,5804,Castillo-Price,2025-02-01,2025-02-01,In Transit
406,8621,"Floyd, Watson and Walker",2025-02-01,2025-02-01,In Transit
407,605,Davis and Sons,2025-02-01,2025-02-01,Delayed
